tt0057933	The Chalk Garden	1964	Action,Drama,Mystery	en	106	A grandmother (Dame Edith Evans) seeks a governess for her sixteen-year-old granddaughter, Laurel (Hayley Mills), who manages to drive away everyone so far by exposing her past, with a record of three in one week. When an applicant with a mysterious past manages to get the job, Laurel vows to expose her. Meanwhile, Laurel's mother Olivia (Elizabeth Sellars) tries to get her back.	NULL
tt8439860	The Domain	2019	Action,Drama,Thriller	pt	166	The chronicle of a Portuguese family that owns one of the largest estates in Europe, on the south bank of the River Tagus. The Domain delves deeply into the secrets of their homestead, portraying the historical, political, economic and social life of Portugal, since the 1940's to these days.	NULL
tt0103786	Beethoven	1992	Action,Comedy,Drama,Family	en	87	"The Newton family live in their comfortable home, but there seems to something missing. This ""hole"" is filled by a small puppy, who walks into their home and their lives. Beethoven, as he is named, grows into a giant of a dog...a St Bernard. Dr. Herman Varnick, the local vet, has a secret and horrible sideline which requires lots of dogs for experiments. Beethoven is on his list."	NULL
tt2536086	Quarantine L.A.	2013	Action,Horror,Sci-Fi	en	75	A group of seven strangers try to survive and escape from isolated Los oscares that has been infected by a strange, human changing virus.	NULL
tt6185692	Brampton's Own	2018	Action,Drama	en	89	A struggling minor league baseball player retires and woefully returns to his small hometown, carefully dodging old wounds until confronted with the one that hurts the most - the girl that got away.	NULL
tt0101458	Until the End of the World	1991	Action,Drama,Sci-Fi,Thriller	de	158	Set in 1999, a woman (Dommartin) has a car accident with some bank robbers, who enlist her help to take the bank money to a drop in Paris. On the way she runs into another fugitive from the law (Hurt), an American who is being chased by the CIA. The charges are false, he claims. They want to confiscate a device his father invented which allows anyone to record their dreams and vision. On the run from both the bank robbers and the CIA, the couple span the globe, ending up in Australia at his father's (von Sydow) research facility, where they hope to play back the recordings Hurt captured for his blind mother. Set in the futuristic year of 1999, a subplot about a damaged Indian nuclear satellite crashing and causing the end of civilization is a puzzling addition to the film.	R
tt0075807	Candleshoe	1977	Action,Adventure,Comedy,Drama,Family	en	101	Small-time crook Harry Bundage discovers that the old manor house where Lady St. Edmund resides, with three orphans and her butler Priory is the resting place for a hoard of treasure. Unfortunately, he doesn't know where it is. Bundage recruits urchin Casey Brown to dupe Lady St. Edmund into thinking that she is her long-lost granddaughter, so she can search for clues to the location of the treasure. Unbeknownst to Bundage AND her ladyship, Lady St. Edmund is flat broke, and Priory and the children help her ladyship try to keep her home and pride. Joined by Casey, they do all the chores and Priory acts as the butler, gardener, chauffeur and an old major all at the same time!	NULL
tt0079003	Courage fuyons	1979	Action,Comedy,Romance	fr	100	At forty years old, Martin Belhomme leads a quiet life with his wife and two children. One day, he falls hopelessly in love with Eva, a cabaret singer. He decides to follow her to Amsterdam. From then on, his life becomes very eventful.	NULL
tt0118859	City of Industry	1997	Action,Crime,Drama,Thriller	en	97	"Lee Egan lures his older brother Roy out of ""retirement"" with a sweet jewel heist, only to get killed by a backstabbing partner; then it's up to Roy to get revenge."	R
tt5639388	Raaz Reboot	2016	Action,Horror,Mystery,Romance,Thriller	hi	128	Rehaan and Shaina are newly married as Rehaan gets a job offer as a Venture Capitalist for the East European Finance Company they had actually fallen in love in Romania,Shaina insists Rehan to take up the job while Rehan is reluctant a she has a secret to hide in Romania,Shaina soon experiences paranormal activities but Rehan refuses to believe while on a business trip Rehan receives a frantic call from Shaina requesting for help as she is trapped in telephone booth in a rural area where she had gone to seek help on paranormal activities happening around her.Shaina and Rehaan take the help of a local Priest but he cant help them much,Aditya Shrivastava former lover of Shaina comes to rescue her from the evil spirit.	NULL
tt1285313	SuperBrother	2009	Action,Adventure,Drama,Fantasy	da	89	A young boy wishes he could improve his and his autistic big brother's lives somehow. One day a magic remote falls from the sky and changes everything. But can the boy control such a powerful device?	NULL
tt0057829	Intentions of Murder	1964	Action,Drama	ja	150	A housewife living under her tyrannical husband has her life stressfully turned upside down after getting raped by a burglar.	NULL
tt7831530	Christmas at the Royal Hotel	2018	Action,Drama,History,War	zh	108	In 1941, Hong Kong was the Casablanca of the East, a city full of war refugees, profiteers and spies. With the sudden attack by Japanese troops, a Canadian soldier's Christmas promise is broken during the Battle of Hong Kong.	NULL
tt6411748	Purge of Kingdoms	2019	Action,Comedy	en	85	"In a parody of ""Game of Thrones,"" nobles from the Eight Kingdoms gather for Purge Fest 3000 to try and put an end to their violent conflicts, while members of the Fat King's own family conspire to overthrow him."	R
tt0790816	Pumpkinhead 4: Blood Feud	2007	Fantasy,Horror	en	95	In a Virginia forest village, true love between Ricky McCoy and Jodie Hatfield is sabotaged by their families' long-standing bitter feud. Despite sheriff Dallas Pope's grim warning, actually from bitter experience, it will only eat up his soul, Ricky resorts to vengeance on all standing in his way by appealing to pumpkin-head, a magical forester monster, who unleashes ever greater horror.	R
tt4173170	The Eternal Road	2017	Action,Drama,History	fi	103	Based on true events an epic story of one man's struggle for survival. Jussi Ketola, returns to Finland from the great depression struck America only to face growing political unrest. One summer night of 1930, nationalist thugs violently abduct Ketola from his home. Beaten and forced to walk the Eternal Road towards a foreign Soviet Russia, where cruelty seems to know no end, his only dream is to return to his family cost it what it may. Hope dies last.	NULL
tt6946580	Lego Scooby-Doo! Blowout Beach Bash	2017	Action,Animation,Comedy,Family,Fantasy,Horror,Mystery	en	77	Mystery, Inc. heads to Blowout Beach for a real swinging beach party. But when the Ghost Pirates threaten to harsh the good vibes, it's up to the Scooby Gang to get the party back on track and save the day!	NULL
tt0077587	The Further Adventures of the Wilderness Family	1978	Action,Adventure,Family	en	105	The Wilderness Family now face terrifying times in fierce winter storms, an avalanche, and being attacked by a ferocious pack of hungry wolves. Watch as America's favorite family stands strong together to prove that the best things in life are really free.	NULL
tt0070195	The House in Nightmare Park	1973	Action,Comedy,Horror,Mystery,Thriller	en	95	In 1907, an actor is invited to perform in an isolated country house, and becomes involved in mysterious and dangerous events.	NULL
tt0093389	The Last Emperor	1987	Action,Biography,Drama,History	en	163	This sweeping account of the life of Pu-Yi, the last emperor of China, follows the leader's tumultuous reign. After being captured by the Red Army as a war criminal in 1950, Pu-Yi recalls his childhood from prison. He remembers his lavish youth in the Forbidden City, where he was afforded every luxury but unfortunately sheltered from the outside world and complex political situation surrounding him. As revolution sweeps through China, the world Pu-Yi knew is dramatically upended.	NULL
tt0077360	Comes a Horseman	1978	Action,Drama,Romance,Western	en	118	Ella Connors is a single woman who gets pressured to sell her failing cattle farm to her corrupt ex-suitor, Jacob Ewing. She asks for help from her neighbor, Frank Athearn. As Ella and Frank fight back through stampedes, jealousy, betrayal, and sabotage, they eventually find love.	NULL
tt0090073	Stick	1985	Action,Crime,Drama,Thriller	en	109	Ernest 'Stick' Stickley returns from prison, and very soon he gets involved with his old friend in a drug-running deal that goes sour. Hired by a rich investor, he tries to walk the line, but trouble follows him throughout as he tries to collect a debt and make up for lost time with his daughter. Stick also finds a new flame with a financial wiz and gets set to enjoy a new life, but Chucky and Nestor, the two hoods who owe him the debt, have other plans for Stick.	NULL
tt13156200	Buckskin	2021	Action,Western	en	80	Set in 1820, a Texan fur trapper journeys into the mysterious Buckskin woods in the hopes of saving a lost young boy.	NULL
tt0100491	Riff-Raff	1991	Action,Comedy,Drama	en	95	The story of construction-worker Stevie and his unemployed pop-singer girlfriend shows the living conditions of the British poor class.	NULL
